,density,init_fire,reborn_tree,Run,Burned Out,Fine,Fire,height,width
262,0.5,10,80,262,0,5105,0,100,100
263,0.5,10,80,263,0,5043,0,100,100
264,0.5,10,80,264,675,4263,89,100,100
265,0.5,10,80,265,0,4861,0,100,100
266,0.5,10,80,266,743,4208,96,100,100
267,0.5,10,80,267,0,5031,0,100,100
268,0.5,10,80,268,0,4931,0,100,100
269,0.5,10,80,269,0,4972,0,100,100
270,0.5,10,80,270,0,5009,0,100,100
271,0.5,10,80,271,0,5062,0,100,100
272,0.5,10,80,272,511,4397,51,100,100
273,0.5,10,80,273,461,4436,66,100,100
274,0.5,10,80,274,0,4983,0,100,100
275,0.5,10,80,275,0,4991,0,100,100
276,0.5,10,80,276,0,4995,0,100,100
277,0.5,10,80,277,0,5089,0,100,100
278,0.5,10,80,278,345,4541,44,100,100
279,0.5,10,80,279,0,4986,0,100,100
280,0.5,10,80,280,0,5019,0,100,100
281,0.5,10,80,281,667,4325,46,100,100
282,0.5,10,80,282,0,4951,0,100,100
283,0.5,10,80,283,554,4311,65,100,100
284,0.5,10,80,284,603,4341,77,100,100
285,0.5,10,80,285,0,4911,0,100,100
286,0.5,10,80,286,0,4969,0,100,100
287,0.5,10,80,287,135,4842,17,100,100
288,0.5,10,80,288,376,4559,39,100,100
289,0.5,10,80,289,0,4924,0,100,100
290,0.5,10,80,290,0,4984,0,100,100
291,0.5,10,80,291,473,4480,66,100,100
292,0.5,10,80,292,0,5048,0,100,100
293,0.5,10,80,293,488,4423,88,100,100
294,0.5,10,80,294,468,4443,50,100,100
295,0.5,10,80,295,550,4375,67,100,100
296,0.5,10,80,296,888,4050,110,100,100
297,0.5,10,80,297,400,4616,47,100,100
298,0.5,10,80,298,0,5000,0,100,100
299,0.5,10,80,299,358,4635,37,100,100
300,0.5,20,20,300,570,4383,66,100,100
301,0.5,20,20,301,648,4200,76,100,100
302,0.5,20,20,302,551,4300,91,100,100
303,0.5,20,20,303,564,4346,69,100,100
304,0.5,20,20,304,0,5050,0,100,100
305,0.5,20,20,305,0,5054,0,100,100
306,0.5,20,20,306,537,4420,80,100,100
307,0.5,20,20,307,309,4612,50,100,100
308,0.5,20,20,308,135,4776,22,100,100
309,0.5,20,20,309,0,5033,0,100,100
310,0.5,20,20,310,0,5039,0,100,100
311,0.5,20,20,311,0,4955,0,100,100
312,0.5,20,20,312,0,5041,0,100,100
313,0.5,20,20,313,410,4486,73,100,100
314,0.5,20,20,314,504,4527,46,100,100
315,0.5,20,20,315,0,4996,0,100,100
316,0.5,20,20,316,0,4911,0,100,100
317,0.5,20,20,317,0,5005,0,100,100
318,0.5,20,20,318,754,4131,90,100,100
319,0.5,20,20,319,392,4562,48,100,100
320,0.5,20,20,320,0,5061,0,100,100
321,0.5,20,20,321,0,5034,0,100,100
322,0.5,20,20,322,466,4489,55,100,100
323,0.5,20,20,323,0,5000,0,100,100
324,0.5,20,20,324,0,5025,0,100,100
325,0.5,20,20,325,462,4450,55,100,100
326,0.5,20,20,326,692,4300,61,100,100
327,0.5,20,20,327,0,5015,0,100,100
328,0.5,20,20,328,0,5012,0,100,100
329,0.5,20,20,329,304,4650,47,100,100
330,0.5,20,20,330,0,4974,0,100,100
331,0.5,20,20,331,0,5015,0,100,100
332,0.5,20,20,332,617,4322,92,100,100
333,0.5,20,20,333,0,4934,0,100,100
334,0.5,20,20,334,448,4574,60,100,100
335,0.5,20,20,335,443,4556,49,100,100
336,0.5,20,20,336,662,4239,62,100,100
337,0.5,20,20,337,397,4497,55,100,100
338,0.5,20,20,338,7,5019,0,100,100
339,0.5,20,20,339,0,5082,0,100,100
340,0.5,20,20,340,0,4990,0,100,100
341,0.5,20,20,341,0,5026,0,100,100
342,0.5,20,20,342,0,5011,0,100,100
343,0.5,20,20,343,343,4634,43,100,100
344,0.5,20,20,344,0,4978,0,100,100
345,0.5,20,20,345,0,4944,0,100,100
346,0.5,20,20,346,489,4456,58,100,100
347,0.5,20,20,347,0,5015,0,100,100
348,0.5,20,20,348,0,5034,0,100,100
349,0.5,20,20,349,498,4421,74,100,100
350,0.5,20,20,350,296,4516,69,100,100
351,0.5,20,20,351,507,4422,50,100,100
352,0.5,20,20,352,691,4294,62,100,100
353,0.5,20,20,353,0,5004,0,100,100
354,0.5,20,20,354,589,4388,93,100,100
355,0.5,20,20,355,0,5066,0,100,100
356,0.5,20,20,356,304,4654,60,100,100
357,0.5,20,20,357,0,4934,0,100,100
358,0.5,20,20,358,0,5094,0,100,100
359,0.5,20,20,359,0,4885,0,100,100
360,0.5,20,20,360,0,4971,0,100,100
361,0.5,20,20,361,391,4442,72,100,100
362,0.5,20,20,362,696,4243,77,100,100
363,0.5,20,20,363,0,4975,0,100,100
364,0.5,20,20,364,381,4498,54,100,100
365,0.5,20,20,365,490,4412,62,100,100
366,0.5,20,20,366,0,4929,0,100,100
367,0.5,20,20,367,0,5080,0,100,100
368,0.5,20,20,368,375,4536,55,100,100
369,0.5,20,20,369,635,4275,85,100,100
370,0.5,20,20,370,612,4268,69,100,100
371,0.5,20,20,371,173,4760,29,100,100
372,0.5,20,20,372,798,4090,93,100,100
373,0.5,20,20,373,0,5049,0,100,100
374,0.5,20,20,374,0,5019,0,100,100
375,0.5,20,20,375,0,4996,0,100,100
376,0.5,20,20,376,497,4421,49,100,100
377,0.5,20,20,377,437,4632,61,100,100
378,0.5,20,20,378,885,4014,100,100,100
379,0.5,20,20,379,0,5019,0,100,100
380,0.5,20,20,380,0,4986,0,100,100
381,0.5,20,20,381,501,4425,40,100,100
382,0.5,20,20,382,0,4999,0,100,100
383,0.5,20,20,383,0,4893,0,100,100
384,0.5,20,20,384,689,4254,56,100,100
385,0.5,20,20,385,0,5007,0,100,100
386,0.5,20,20,386,0,5101,0,100,100
